crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	6.320194	456	474237152.000000
281474976710655.000000	6.501532	457	475243296.000000
281474976710655.000000	6.568463	458	476263296.000000
281474976710655.000000	6.609194	459	477270112.000000
281474976710655.000000	6.542599	460	478290176.000000
281474976710655.000000	6.858843	461	479297472.000000
281474976710655.000000	6.751550	462	480316544.000000
281474976710655.000000	6.734535	463	481324576.000000
281474976710655.000000	7.051618	464	482342848.000000
281474976710655.000000	7.193577	465	483351680.000000
281474976710655.000000	7.431159	466	484369376.000000
281474976710655.000000	7.233237	467	485378848.000000
281474976710655.000000	7.526439	468	486395520.000000
281474976710655.000000	7.078402	469	487406080.000000
281474976710655.000000	7.485567	470	488421760.000000
281474976710655.000000	7.481091	471	489433344.000000
281474976710655.000000	8.284437	472	490448192.000000
281474976710655.000000	7.263238	473	491460896.000000
281474976710655.000000	7.502017	474	492473984.000000
281474976710655.000000	7.485830	475	493487648.000000
281474976710655.000000	7.520463	476	494499968.000000
281474976710655.000000	7.538229	477	495514496.000000
281474976710655.000000	6.988768	478	496525952.000000
281474976710655.000000	6.514764	479	497541536.000000
281474976710655.000000	6.770175	480	498552416.000000
281474976710655.000000	6.380449	481	499568160.000000
281474976710655.000000	6.151916	482	500578848.000000
281474976710655.000000	6.136412	483	501595200.000000
281474976710655.000000	6.221796	484	502604864.000000
281474976710655.000000	5.999311	485	503620704.000000
281474976710655.000000	6.242196	486	504631232.000000
281474976710655.000000	6.032849	487	505646944.000000
281474976710655.000000	6.191186	488	506658240.000000
281474976710655.000000	6.273097	489	507673120.000000
281474976710655.000000	6.292610	490	508684512.000000
281474976710655.000000	6.253239	491	509699680.000000
281474976710655.000000	6.094848	492	510711840.000000
281474976710655.000000	6.315226	493	511726368.000000
281474976710655.000000	6.125523	494	512738304.000000
281474976710655.000000	6.362388	495	513753088.000000
281474976710655.000000	6.038078	496	514764864.000000
281474976710655.000000	6.314651	497	515779936.000000
281474976710655.000000	6.401092	498	516791200.000000
281474976710655.000000	6.660193	499	517806368.000000
281474976710655.000000	6.223923	500	518817920.000000
281474976710655.000000	6.439703	501	519833184.000000
281474976710655.000000	6.413065	502	520843936.000000
281474976710655.000000	6.505527	503	521859968.000000
281474976710655.000000	6.401771	504	522870720.000000
281474976710655.000000	6.351254	505	523886784.000000
281474976710655.000000	6.491820	506	524897856.000000
281474976710655.000000	6.561667	507	525913632.000000
281474976710655.000000	6.876391	508	526924992.000000
281474976710655.000000	7.096373	509	527939904.000000
281474976710655.000000	7.072812	510	528951808.000000
281474976710655.000000	7.186204	511	529966368.000000
281474976710655.000000	7.538244	512	530979168.000000
281474976710655.000000	7.592644	513	531992416.000000
281474976710655.000000	7.563964	514	533006368.000000
281474976710655.000000	7.511439	515	534018496.000000
281474976710655.000000	7.730289	516	535033664.000000
281474976710655.000000	7.757463	517	536044768.000000
281474976710655.000000	7.962818	518	537060800.000000
281474976710655.000000	7.454071	519	538070848.000000
281474976710655.000000	7.664939	520	539088192.000000
281474976710655.000000	7.371170	521	540096832.000000
281474976710655.000000	7.365340	522	541115200.000000
281474976710655.000000	7.186721	523	542123008.000000
281474976710655.000000	7.241069	524	543142272.000000
281474976710655.000000	6.959278	525	544149120.000000
281474976710655.000000	6.700238	526	545169280.000000
281474976710655.000000	6.681241	527	546175104.000000
281474976710655.000000	6.526570	528	547195904.000000
281474976710655.000000	6.355217	529	548201280.000000
281474976710655.000000	6.245471	530	549222592.000000
281474976710655.000000	6.565662	531	550227648.000000
281474976710655.000000	5.978381	532	551248896.000000
281474976710655.000000	6.468658	533	552254400.000000
281474976710655.000000	6.239508	534	553275136.000000
281474976710655.000000	6.445086	535	554281216.000000
281474976710655.000000	6.517790	536	555301504.000000
281474976710655.000000	6.579805	537	556308160.000000
281474976710655.000000	6.703012	538	557327808.000000
281474976710655.000000	6.606625	539	558334976.000000
281474976710655.000000	6.575921	540	559354560.000000
281474976710655.000000	6.672781	541	560361920.000000
281474976710655.000000	6.776100	542	561380736.000000
281474976710655.000000	6.691179	543	562389440.000000
281474976710655.000000	7.340527	544	563407296.000000
281474976710655.000000	6.758003	545	564416960.000000
281474976710655.000000	7.284914	546	565433664.000000
281474976710655.000000	7.519048	547	566444224.000000
281474976710655.000000	7.558324	548	567459520.000000
281474976710655.000000	7.549845	549	568471488.000000
281474976710655.000000	7.454827	550	569485696.000000
281474976710655.000000	7.456230	551	570498880.000000
281474976710655.000000	7.625932	552	571512128.000000
281474976710655.000000	7.475743	553	572526080.000000
281474976710655.000000	7.275473	554	573538048.000000
281474976710655.000000	7.242902	555	574553152.000000
281474976710655.000000	7.271918	556	575564352.000000
281474976710655.000000	6.966520	557	576580224.000000
281474976710655.000000	6.704762	558	577590720.000000
281474976710655.000000	6.531236	559	578606592.000000
281474976710655.000000	6.357877	560	579616640.000000
281474976710655.000000	6.224937	561	580632768.000000
281474976710655.000000	6.229342	562	581643200.000000
281474976710655.000000	5.917264	563	582658688.000000
281474976710655.000000	5.947612	564	583669696.000000
281474976710655.000000	5.916785	565	584684864.000000
281474976710655.000000	6.249753	566	585696448.000000
281474976710655.000000	6.349431	567	586711424.000000
281474976710655.000000	6.063479	568	587723264.000000
281474976710655.000000	6.231814	569	588737728.000000
281474976710655.000000	6.199365	570	589749632.000000
281474976710655.000000	6.373214	571	590764288.000000
281474976710655.000000	6.416193	572	591776512.000000
281474976710655.000000	6.269999	573	592790976.000000
281474976710655.000000	6.298049	574	593803008.000000
281474976710655.000000	6.293463	575	594817664.000000
281474976710655.000000	6.235391	576	595829824.000000
281474976710655.000000	6.134626	577	596844736.000000
281474976710655.000000	6.141800	578	597856320.000000
281474976710655.000000	6.154479	579	598872000.000000
281474976710655.000000	6.482761	580	599882816.000000
281474976710655.000000	6.562856	581	600898688.000000
281474976710655.000000	6.508588	582	601909632.000000
281474976710655.000000	6.487633	583	602925568.000000
281474976710655.000000	6.699606	584	603936320.000000
281474976710655.000000	6.900218	585	604952384.000000
281474976710655.000000	6.868516	586	605963392.000000
281474976710655.000000	6.872931	587	606978880.000000
281474976710655.000000	7.070621	588	607990464.000000
281474976710655.000000	7.176717	589	609005184.000000
281474976710655.000000	7.326601	590	610017856.000000
281474976710655.000000	7.519557	591	611031424.000000
281474976710655.000000	7.741200	592	612045376.000000
281474976710655.000000	7.535359	593	613057472.000000
281474976710655.000000	7.573882	594	614072704.000000
281474976710655.000000	7.444373	595	615083520.000000
281474976710655.000000	7.836719	596	616099712.000000
281474976710655.000000	7.360388	597	617109376.000000
281474976710655.000000	7.555209	598	618127040.000000
281474976710655.000000	7.454726	599	619135296.000000
281474976710655.000000	7.415752	600	620154240.000000
281474976710655.000000	6.910048	601	621161472.000000
281474976710655.000000	7.060307	602	622181248.000000
281474976710655.000000	6.731177	603	623187328.000000
281474976710655.000000	6.565343	604	624207936.000000
281474976710655.000000	6.588033	605	625213376.000000
281474976710655.000000	6.212192	606	626234496.000000
281474976710655.000000	6.303267	607	627239552.000000
281474976710655.000000	5.836037	608	628260608.000000
281474976710655.000000	6.400803	609	629265984.000000
281474976710655.000000	5.925718	610	630286848.000000
281474976710655.000000	6.364859	611	631292736.000000
281474976710655.000000	6.346740	612	632313472.000000
281474976710655.000000	6.370410	613	633319488.000000
281474976710655.000000	6.221818	614	634339712.000000
281474976710655.000000	6.513586	615	635346432.000000
281474976710655.000000	6.578784	616	636366592.000000
281474976710655.000000	6.406366	617	637373120.000000
281474976710655.000000	6.533128	618	638392832.000000
281474976710655.000000	6.442136	619	639400256.000000
281474976710655.000000	6.817060	620	640419392.000000
281474976710655.000000	6.706535	621	641427648.000000
281474976710655.000000	6.912122	622	642445760.000000
281474976710655.000000	6.955581	623	643455296.000000
281474976710655.000000	7.555545	624	644471936.000000
281474976710655.000000	7.400326	625	645482240.000000
281474976710655.000000	7.835518	626	646498176.000000
281474976710655.000000	7.380009	627	647510272.000000
281474976710655.000000	7.474133	628	648523968.000000
281474976710655.000000	7.466920	629	649536832.000000
281474976710655.000000	7.601161	630	650549824.000000
281474976710655.000000	7.627837	631	651564288.000000
